Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
AGC102728,20.40,10.0,Ir,L,20.2,6.43,5.82,7.05,,-3.07
UGC12894,17.60,10.0,Ir,L,16.8,7.63,8.2,7.98,-2.23,-1.97
WLM,12.80,9.0,Im,N,11.0,7.7,8.27,7.84,-2.68,-2.23
ESO409-015,16.10,9.0,Im,N,15.2,8.1,8.25,8.10,-1.47,-1.72
AGC748778,20.30,10.0,Ir,L,18.9,6.39,5.7,6.64,-4.64,-3.53
UGC00064,16.60,10.0,Ir,N,15.5,8.01,8.58,8.44,-1.65,-1.77
ESO349-031,17.10,10.0,Ir,L,15.7,7.12,7.41,7.13,-4.03,-3.02
NGC0024,14.20,5.0,,,12.4,9.48,10.19,8.64,-1.01,-0.60
NGC0045,12.70,8.0,,,11.6,9.33,10.31,9.18,-0.54,-0.45
PiscesA,,10.0,Ir,L,18.5,6.53,5.99,6.96,-3.67,
NGC0055,10.30,8.0,,,8.8,9.49,10.18,9.44,-0.28,0.07
NGC0059,16.30,-3.0,dEem,N,13.0,8.66,8.21,7.34,-1.98,-2.27
LVJ0015-3825,19.20,10.0,Ir,N,18.3,6.68,7.88,7.23,,-3.11
IC0010,,10.0,Ir,N,11.8,8.63,8.98,8.16,-1.38,
JKB129,19.00,10.0,Ir,N,17.4,7.39,7.37,7.59,-2.89,-2.54
ESO294-010,18.10,10.0,Tr,N,15.5,6.3,5.95,5.52,-4.28,-3.81
UGC00288,17.60,10.0,Ir,N,15.6,7.8,7.77,7.69,-2.61,-2.33
ESO473-024,16.90,10.0,Ir,N,16.4,7.72,8.4,8.18,-2.10,-1.94
dw0036-2828,22.10,10.0,Irr,L,19.0,5.83,,,,-4.85
KK7,18.90,10.0,Ir,N,16.6,7.69,7.37,7.34,,-2.68
NGC0185,,-3.0,dE,N,10.0,8.36,8.57,5.08,-4.73,
AndIV,17.90,10.0,Ir,L,17.2,7.22,8.9,8.44,-3.12,-2.42
MESSIER031,09.80,3.0,,,4.3,10.73,11.5,9.73,-0.27,-0.40
DDO226,16.70,10.0,Ir,N,14.9,7.71,7.82,7.53,-2.90,-2.46
NGC0247,11.50,7.0,,,9.9,9.5,10.45,9.18,-0.55,-0.25
NGC0253,11.30,5.0,,,7.9,10.98,11.22,9.09,0.26,0.34
DDO006,16.90,10.0,Ir,N,15.3,7.08,6.21,7.06,-4.14,-2.86
ESO540-032,19.70,10.0,Ir,L,16.4,6.83,6.8,6.03,-4.98,-3.91
SMC,,9.0,Im,N,2.7,8.85,9.25,8.65,-1.34,
NGC0300,10.30,7.0,,,9.0,9.41,10.17,9.32,-0.78,-0.56
LVJ0055-2310,19.30,10.0,Ir,N,18.1,6.16,7.57,6.64,,-3.79
IC1613,11.60,10.0,Ir,N,9.9,8.1,7.9,7.80,-2.35,-2.04
UGC00685,16.50,9.0,BCD,N,14.2,8.03,8.72,7.80,-2.25,-2.27
KKH5,,10.0,Ir,L,17.1,7.35,7.69,7.06,-2.62,
AM0106-382,17.40,10.0,Ir,N,16.3,7.6,7.68,7.58,-2.33,-2.30
NGC0404,15.40,-1.0,S0em,N,11.2,9.26,9.57,7.91,-1.50,-2.23
PiscesB,19.10,10.0,Ir,L,17.8,7.11,7.66,7.47,-3.02,-2.80
UGC01056,17.20,9.0,Im,N,14.8,8.54,8.18,7.93,-1.66,-1.86
AndXXIII,,-3.0,Sph,X,15.6,6.55,6.29,,-6.05,
UGC01085,17.80,9.0,Im,N,17.0,7.56,8.07,7.82,,-2.17
UGC01104,16.10,9.0,BCD,N,14.5,8.35,8.9,8.02,-2.01,-1.70
AGC112454,,9.0,Im,N,16.3,7.81,8.39,8.09,-2.35,
MESSIER033,08.20,6.0,,,6.3,9.62,10.34,9.40,-0.35,-0.25
AGC114027,,10.0,Ir,L,17.4,7.39,7.08,7.38,-2.85,
NGC0625,13.90,8.0,,,11.6,8.96,9.02,8.00,-1.20,-1.52
NGC0628,12.20,5.0,,,9.8,10.6,10.22,9.73,0.23,0.14
dw0137+1607,23.20,-1.0,Sph,L,20.6,6.73,,,,-4.39
AGC112503,,9.0,BCD,N,17.3,7.27,8.35,6.99,-2.72,
UGC01171,18.80,10.0,Ir,N,16.0,7.96,7.52,7.70,-3.60,-2.52
dw0139+1433,20.00,10.0,Irr,N,18.2,7.13,,,,-2.99
DDO013,16.00,10.0,Ir,L,14.4,8.53,8.68,8.66,-1.57,-1.48
AGC112521,21.10,10.0,Ir,L,17.8,6.81,6.55,6.75,-4.20,-3.88
KK13,19.00,10.0,Ir,N,16.6,7.57,7.37,7.27,-2.92,-2.74
KDG010,19.80,10.0,Ir,L,16.1,7.81,7.85,7.80,-2.54,-3.01
KK14,19.10,10.0,Ir,L,17.5,7.08,6.94,7.54,-3.50,-2.94
ESO245-005,13.80,9.0,Im,N,12.7,8.53,9.19,8.60,-1.59,-1.34
JKB142,19.50,10.0,Ir,N,18.4,7.01,7.59,7.65,-2.11,-2.81
KK15,19.90,10.0,Ir,L,18.2,6.98,6.05,7.21,-3.59,-3.02
IC1727,14.10,8.0,,,12.1,9.49,9.8,8.90,-1.10,-0.69
NGC0672,13.90,6.0,,,11.3,9.65,10.22,9.22,-0.70,-0.45
UGC01281,15.50,7.0,,,12.9,8.57,9.45,8.28,-1.94,-1.61
KK16,18.80,10.0,Ir,N,16.3,7.35,6.2,6.86,-3.43,-3.00
KK17,19.70,10.0,Ir,L,17.2,7.02,6.08,6.76,-3.53,-3.51
NGC0784,14.40,8.0,,,12.2,8.67,9.26,8.53,-1.46,-1.33
UGC01561,17.20,9.0,Im,N,14.5,8.52,8.18,7.84,-1.89,-1.89
Cas1,,10.0,Ir,N,15.3,9.03,8.87,8.38,-1.08,
NGC0855,16.50,0.0,dS0em,N,13.3,9.37,9.24,8.45,-1.11,-1.59
Dw0214+2836,20.80,10.0,Irr,L,19.0,6.73,,,,-3.37
UGC01807,16.70,8.0,Sm,,14.2,8.81,10.27,8.56,-1.80,-1.65
NGC0891,15.20,3.0,,,10.7,10.98,11.33,9.66,-0.09,-0.28
KKH11,,10.0,Ir,N,16.2,8.17,8.88,8.19,-2.18,
DDO019,16.60,10.0,Ir,L,15.8,8.03,9.31,8.34,-1.82,-1.65
d0226+3325,,10.0,Ir,X,17.5,7.34,8.86,8.02,-4.58,
NGC0925,12.70,7.0,,,10.6,10.14,10.66,9.60,-0.01,0.12
Halogas,20.00,10.0,Ir,L,18.0,7.14,6.24,7.53,-2.79,-3.00
KKH12,,10.0,Ir,L,17.8,8.21,8.41,7.77,-1.90,
DDO022,18.30,10.0,Ir,N,15.7,8.07,8.44,8.11,-2.32,-2.38
MB1,,10.0,Ir,L,17.8,9.0,8.43,8.04,-1.75,
ESO115-021,14.80,7.0,,,13.3,8.75,9.51,8.58,-1.63,-1.44
Maffei2,,4.0,,,14.8,11.21,10.71,9.40,-0.76,
UGC02172,,10.0,Ir,N,14.6,8.32,8.62,7.87,-0.94,
AGC122226,,9.0,BCD,N,17.1,7.41,7.25,7.46,-2.30,
AGC124635,19.20,10.0,Ir,L,19.5,6.55,6.19,7.20,,-2.63
AGC123352,21.50,10.0,Ir,L,19.2,6.91,6.38,7.18,-2.86,-3.14
Dw2,,10.0,Ir,N,18.0,8.96,9.05,8.61,-1.87,
ESO154-023,13.90,8.0,,,12.7,8.93,9.65,9.14,-1.32,-1.00
Dw1,,3.0,,,15.0,10.64,10.16,9.24,-0.62,
ESO199-007,17.80,10.0,Ir,N,16.4,7.27,7.12,7.25,,-2.71
GALFADw3,18.80,10.0,Ir,L,18.0,7.04,5.98,6.84,-3.42,-2.53
NGC1156,14.50,8.0,,,12.3,9.2,9.46,8.71,-0.59,-0.58
LVJ0300+2546,22.60,10.0,Ir,N,18.1,7.34,6.41,6.20,-3.09,-3.41
KKH18,18.40,10.0,Ir,N,16.7,7.28,7.36,7.14,-3.21,-2.57
ESO300-014,15.00,8.0,,,13.1,9.3,10.0,8.65,-1.42,-1.07
ESO300-016,17.40,10.0,Ir,N,15.6,8.0,8.15,7.91,-2.72,-2.20
N1291-DW11,20.70,10.0,Ir,L,18.3,6.86,,,,-3.54
