Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
AGC102728,20.40,10.0,Ir,L,6.43,5.82,7.05,,-3.07
UGC12894,17.60,10.0,Ir,L,7.63,8.2,7.98,-2.23,-1.97
PGC000083,>23.00,10.0,Ir,L,7.18,7.38,7.46,,<-4.34
WLM,12.80,9.0,Im,N,7.7,8.27,7.84,-2.68,-2.23
AndXVIII,>23.00,-3.0,Sph,L,6.44,6.78,<6.65,<-5.97,<-5.84
PAndAS-03,>23.00,-3.0,dE,L,4.38,,,<-6.26,<-6.35
PAndAS-04,21.70,-3.0,dE,H,5.59,,,<-6.82,-5.67
PAndAS-05,>23.00,-3.0,dE,N,4.75,,,<-6.47,<-6.38
ESO409-015,16.10,9.0,Im,N,8.1,8.25,8.10,-1.47,-1.72
AGC748778,20.30,10.0,Ir,L,6.39,5.7,6.64,-4.64,-3.53
AndXX,21.80,-3.0,Sph,X,5.26,5.7,,<-6.34,-5.96
UGC00064,16.60,10.0,Ir,N,8.01,8.58,8.44,-1.65,-1.77
ESO349-031,17.10,10.0,Ir,L,7.12,7.41,7.13,-4.03,-3.02
dw0009-25,>23.00,-2.0,dSph,L,6.03,,,,<-4.64
NGC0024,14.20,5.0,,,9.48,10.19,8.64,-1.01,-0.60
dw0010-25,>23.00,-2.0,dSph,L,7.41,,,,<-4.64
NGC0045,12.70,8.0,,,9.33,10.31,9.18,-0.54,-0.45
PiscesA,,10.0,Ir,L,6.53,5.99,6.96,-3.67,
NGC0055,10.30,8.0,,,9.49,10.18,9.44,-0.28,0.07
NGC0059,16.30,-3.0,dEem,N,8.66,8.21,7.34,-1.98,-2.27
ESO410-005,18.40,10.0,Tr,N,6.89,6.13,5.91,<-6.26,-3.96
LVJ0015-3825,19.20,10.0,Ir,N,6.68,7.88,7.23,,-3.11
AndXIX,>23.00,-3.0,Sph,X,6.8,6.77,,<-6.25,<-6.27
IC0010,,10.0,Ir,N,8.63,8.98,8.16,-1.38,
JKB129,19.00,10.0,Ir,N,7.39,7.37,7.59,-2.89,-2.54
AndXXVI,>23.00,-3.0,Sph,X,5.02,5.65,,<-6.36,<-6.30
Sc22,22.80,-3.0,Sph,L,7.15,,<5.00,<-5.56,-5.00
Cetus,>23.00,-1.0,Tr,L,7.03,7.66,<5.40,<-5.51,<-6.54
ESO294-010,18.10,10.0,Tr,N,6.3,5.95,5.52,-4.28,-3.81
UGC00288,17.60,10.0,Ir,N,7.8,7.77,7.69,-2.61,-2.33
AndXXV,>23.00,-3.0,Sph,X,6.38,7.1,,<-6.38,<-6.28
ESO473-024,16.90,10.0,Ir,N,7.72,8.4,8.18,-2.10,-1.94
NGC0147,>23.00,-3.0,Sph,N,8.21,8.31,<3.74,-6.33,<-6.09
ScuSR,20.90,10.0,Tr,L,6.36,,<6.54,,-4.34
AndIII,>23.00,-3.0,Sph,L,6.5,5.8,<5.55,-6.21,<-6.59
CasIII,,-3.0,Sph,X,7.56,6.42,,<-6.35,
dw0036-2828,22.10,10.0,Irr,L,5.83,,,,-4.85
AndXXX,,-3.0,Sph,X,5.94,6.62,,<-6.52,
AndXVII,21.20,-2.0,Sph,X,5.78,5.68,<5.54,-5.57,-5.71
