,Coordinates.ra,Coordinates.dec,a26,b/a,AB,FUVmag,Bmag,Hamag,Kmag,21mag,TType,RVel,Dis,A26,inc,Vm,AB_int,SBB,logKLum,logM26,logMHI,VLG,Theta1,Theta5,Thetaj,mag_B,e_mag_B,mag_FUV,e_mag_FUV,mag_HI,e_mag_HI,mag_Ha,e_mag_Ha,mag_Ks,e_mag_Ks,cz,e_cz,W50,e_W50,DM,e_DM,SFRHa,PHa,FHa,SFRFUV,PFUV,FFUV,BMag,KLum,M26,MHI,SFR_0,StellarMass,av_SFR_theor,M_g
Coordinates.ra,1.0,-0.08747367495384452,-0.04248118919130071,0.00451751878220308,-0.01836385773459201,0.013433750460976113,-0.004771940657669594,-0.0629371764856482,0.0261975527149478,0.0685848578000539,0.003925369362806645,0.16556366448689408,0.06225063811739149,-0.013681858121949346,-0.010879746652439235,0.017648055399709924,-0.0032558138906371723,-0.052795274339071316,0.0202938300379748,0.03734022981954133,-0.02525558582375429,0.1261588904693247,-0.05035193294263681,-0.04529762183511663,0.059392746327255795,-0.0046309446219305024,0.026108078638579668,0.013250372614408833,-0.052178643650606746,0.06236674548765213,0.07496759205497806,-0.06320057604962288,-0.004171462020628132,0.09473648987546783,0.036658387934787935,0.17012506286045254,0.052866872057187424,0.022614143450826293,0.029625864850908023,0.05462585150398809,0.10357754409992893,0.09333263291431537,0.033760272566980165,-0.07850426430600876,0.0054736179668237505,-0.03148376218476619,0.005872166408036278,-0.014829253628155152,-0.020892191819819175,0.015604599899185381,0.014339634142439925,0.0013336048652186753,-0.02089219181981921,-0.020892191819819234,0.014339634142439921
Coordinates.dec,-0.08747367495384452,1.0,-0.0868589208408382,0.00195583899851489,-0.04661924141830129,-0.07066637069934652,0.024144418073360485,0.19430487081185996,0.05827403889964094,0.0049150540522076526,0.08884660769920516,-0.3434389563920652,0.10375554633902902,0.004256520384777519,-0.007368226557784666,-0.04059157502765586,-0.026150526891808325,0.01403986049483384,0.027641488563602327,-0.04069064364085833,0.0801398652103327,-0.04230641980945973,0.02176860846518494,0.026643174953766807,0.008799490350771932,0.023924834103416986,-0.12171845013018637,-0.07087069510363468,0.009814234136345421,0.007712939402825427,0.0553382348362591,0.19490218350210553,-0.029376445195723428,-0.00887603204942094,-0.087478414961556,-0.3432250441401426,0.031020791188158592,-0.05508461253846847,-0.19603743767339182,0.11340451624922473,0.014606727686829375,-0.1777179006072905,-0.04816773036683217,0.058420873718791705,0.054969350062611784,0.09292743550256721,-0.23776602315958123,0.0005622284343179749,0.003040482781198274,-0.020643271093642484,0.015997696084567678,0.012829891961016578,0.0030404827811982603,0.003040482781198256,0.015997696084567668
a26,-0.04248118919130071,-0.0868589208408382,1.0,-0.04265914737449933,0.0035322835755069383,-0.34308878649620483,-0.3551424942884416,-0.31376131067576896,-0.36459438173049624,-0.34164439137707997,-0.025075327045792965,-0.09992788799043367,-0.14090124229318188,0.1648924098369758,0.04230360127159917,0.10098853360817325,0.11628270478552445,0.015507329364173069,0.10347897698237504,0.07968767991706169,0.009985415871888847,-0.13232926603462974,0.1252562021426122,0.1318389397151703,0.04423200161991328,-0.3549827721668918,0.010572595111183396,-0.34297113586206196,-0.04348708411679901,-0.3418069466579062,-0.21236551737698328,-0.31412982688075153,0.015837212127708247,-0.5559727097513503,-0.18317071630979131,-0.09940741795307453,-0.04091921640468643,0.10256275758586639,0.03352317157986017,-0.2995830182296598,-0.028476272192239704,0.11711536167600271,0.027423063006569097,-0.09137332592166693,0.15768179454666756,-0.07796979029030385,-0.09639390051825399,-0.13419644179238008,0.08776254483392475,0.11177965385091619,0.10274597479642324,0.10066994240235301,0.08776254483392486,0.0877625448339249,0.10274597479642318
b/a,0.00451751878220308,0.00195583899851489,-0.04265914737449933,1.0,-0.050921771365432376,0.3808407558564554,0.296531425011456,0.2275110301391734,0.23322245397392366,0.24104293428318713,-0.2962370887720856,-0.057577490804232676,-0.05312580482403768,-0.2822304937180913,-0.9524268700259961,-0.09485425007020197,-0.4133513520134838,0.030840051582900947,-0.23272765112907715,-0.19131811016742012,-0.228181990812699,-0.061872632978691514,0.2078304184537081,0.20540035112648886,0.1594746197115899,0.2970782852240356,-0.1205735119238613,0.3811009959265183,0.1782277100424436,0.2410517752915836,0.08730742981233745,0.2276785138472404,-0.02929712762792878,0.08635603995708946,0.06987654648376233,-0.05780648000061783,0.028838654365248056,-0.2933492493095773,-0.10223705984374142,-0.03381908819814847,0.07692268828581834,-0.2556923962701442,-0.16716136924273153,0.09018166489729962,-0.3575892480577709,-0.2974794471826926,0.27690116163151124,0.3177070120267924,-0.08093726229458323,-0.04676419860405137,-0.08239029525467646,-0.3418676868418158,-0.0809372622945834,-0.08093726229458337,-0.08239029525467641
AB,-0.01836385773459201,-0.04661924141830129,0.0035322835755069383,-0.050921771365432376,1.0,0.08573879247014887,-0.0005468540724155464,-0.029418687166118347,-0.21572557479966595,-0.0994239854118483,0.031398200770979164,-0.09591346558659211,-0.04833156285593663,0.1309030295586362,0.041046697254241524,0.08777330518084703,0.06115292349795416,-0.1758424871748264,0.19434965485811265,0.13396585369675526,0.07879880628007434,-0.03521818226501569,-0.04286102741951146,-0.041430329186500345,-0.020557695888070614,-0.000470785828145567,0.05686820886216441,0.08593354118942223,0.18448328876910244,-0.09951494739287955,0.05830966575833763,-0.02903096860216017,0.011738506882069398,-0.12546846319951116,0.12316050673302027,-0.042773142031360525,-0.050267897992367236,0.025669654593083197,0.010969363030777992,-0.0076857040867175565,-0.0052333156723119905,0.09875239074546213,-0.005035637045095179,-0.06216947238943027,-0.03168939068986539,-0.05023258801067967,0.0849460061871046,-0.16330171122377557,0.0983631436412666,0.01750540657642934,0.03423781689068142,0.13192710073953648,0.09836314364126678,0.09836314364126669,0.03423781689068145
FUVmag,0.013433750460976113,-0.07066637069934652,-0.34308878649620483,0.3808407558564554,0.08573879247014887,1.0,0.8260524296181667,0.9076273067056587,0.6807608007204949,0.816161594802712,-0.5165354763616636,-0.05435222382437741,-0.02838382974195952,-0.610022280765546,-0.2716761635624021,-0.5640367679326438,-0.4297612705364938,0.5021087443396541,-0.6908779808516624,-0.7593758066979338,-0.7187563728156917,-0.06462120820681672,0.3461945234332989,0.34347498799940085,0.30406896601333616,0.8261648184379984,0.08689204910283328,0.999977620362765,0.5759395435930905,0.816520080556578,0.18171559380529653,0.907698780951222,0.11288691325019087,0.6578143124193417,0.20561412095851847,-0.053430912869459925,0.080745464029328,-0.5553936884224946,-0.2187950586339418,-0.10831433842095951,0.10564359911845574,-0.8304628428752092,-0.543907162428896,0.5621373120849629,-0.8803229259865337,-0.6625004530324489,0.7946420075669556,0.7819313802804926,-0.3199763832472349,-0.3097322011755066,-0.39872071841296886,-0.8616196812825119,-0.3199763832472346,-0.3199763832472347,-0.3987207184129681
Bmag,-0.004771940657669594,0.024144418073360485,-0.3551424942884416,0.296531425011456,-0.0005468540724155464,0.8260524296181667,1.0,0.7923930136910418,0.934369697249627,0.753649883657494,-0.2228758596128252,0.07734609316846851,0.1376254015620546,-0.6478261876791518,-0.20486476828952604,-0.6249094092688547,-0.4658961996606175,0.44907048869891864,-0.7067645085848208,-0.6287281547529215,-0.4098950799761622,0.10119118667322227,0.12072538326645425,0.11323700008029881,0.11826273614738923,0.999970496839653,0.08276901305475565,0.8260066791816759,0.30890468874180327,0.7600913153674095,0.2232869468734584,0.7928337618559084,-0.057844320079934716,0.8889490632230771,0.40817196808176115,0.07498024132876617,0.07778167456743508,-0.6217460140320772,-0.1980426046655527,0.19034407773104786,0.08644478653247169,-0.6114410922029545,-0.08631224121299055,0.449891240684276,-0.6405610211636733,-0.15301234637692637,0.5612694448323997,0.7720167200160816,-0.4050813067350703,-0.42085176602873225,-0.43032362009572867,-0.6109202886467354,-0.40508130673507003,-0.4050813067350712,-0.43032362009572783
Hamag,-0.0629371764856482,0.19430487081185996,-0.31376131067576896,0.2275110301391734,-0.029418687166118347,0.9076273067056587,0.7923930136910418,1.0,0.6993426722610709,0.8386590444058964,-0.2994254551960619,-0.15674075253767275,-0.10909294392330629,-0.628329691194043,-0.08780628956538197,-0.6284487038580854,-0.45656700739949635,0.49854387618599666,-0.7247080961747071,-0.7773480700293184,-0.7599802015661603,-0.10862695211055709,0.23145379811724195,0.23373302202371496,0.21260004522974799,0.792539727694405,0.14673797535628427,0.9076869333000386,0.38415442202496236,0.8389579659804134,0.31372780520595084,0.9999673653652695,0.12905987248783027,0.6197908930901739,0.2622276215413992,-0.15674075253767275,0.01052849402767401,-0.5953925188451594,-0.1850896369305975,-0.1943456503187946,0.07672992044970828,-0.8912856380730021,-0.6502354587311949,0.7626927618378964,-0.8406788229658716,-0.47953037194556725,0.5892251973211359,0.7690890250558925,-0.3311588201881479,-0.3536589189623902,-0.4208885891428956,-0.8728209513598055,-0.33115882018814763,-0.331158820188148,-0.4208885891428948
Kmag,0.0261975527149478,0.05827403889964094,-0.36459438173049624,0.23322245397392366,-0.21572557479966595,0.6807608007204949,0.934369697249627,0.6993426722610709,1.0,0.7255181926490883,0.02298341425049799,0.16273211115784147,0.19973591420909728,-0.6685353907855967,-0.15245457520268546,-0.656890880279715,-0.4937152849217684,0.37798702189365707,-0.7023400259132416,-0.5984455779101547,-0.33198319242890656,0.18898768329977567,0.023181059500610172,0.015730111312674856,0.03943817508908383,0.9344325537614443,0.0497156339880421,0.6806107199460637,0.18262803488158208,0.7254610867998615,0.15569515302166725,0.6998053884613887,-0.10426131693469022,0.9999446181064248,0.39421808616191245,0.15951918067735968,0.09133495850023167,-0.6427833463682013,-0.2177337333499032,0.2565306733578073,0.07367404909043258,-0.5170047496548502,0.08003625074973339,0.41297710671072707,-0.4892577150320829,0.0789112080993944,0.40438268030244556,0.7006693068020058,-0.4751423245197634,-0.4563162674010457,-0.451002814530647,-0.4867423773796607,-0.4751423245197634,-0.47514232451976396,-0.4510028145306474
21mag,0.0685848578000539,0.0049150540522076526,-0.34164439137707997,0.24104293428318713,-0.0994239854118483,0.816161594802712,0.753649883657494,0.8386590444058964,0.7255181926490883,1.0,-0.17152381972533565,0.12803185676553838,0.05939450443906367,-0.6438425837450515,-0.10329573856423824,-0.5949650613770915,-0.48701778551996355,0.3421175132283135,-0.6562575739446649,-0.7205461490156271,-0.7112575349533713,0.11460643405862175,0.08993313601119825,0.09028147643803984,0.14637376900354102,0.75379315181108,0.2055396059420966,0.815948440859206,0.27510222630533054,0.9959501592574321,0.3197739756964617,0.8386979055920482,0.11021303823529546,0.7012170339677515,0.19388884111608143,0.12927349343738911,0.07110131203656235,-0.5976177542846995,-0.19930196009222992,0.017959227562531686,0.08519220515518808,-0.6860692826011121,-0.3837549783766101,0.3035416077301414,-0.6860232184300686,-0.3765743206866879,0.33011128559622865,0.6874326628183599,-0.3415264040241728,-0.33296163895757636,-0.4985664487358668,-0.6768314180096733,-0.3415264040241722,-0.3415264040241724,-0.498566448735866
