   Bytes Format Units   Label  Explanations
   1- 18 A18    ---     Name   Galaxy name in well-known catalogs
  20- 22 I3     km/s    W50    Observed HI line width at 50% level
  24- 25 I2     km/s  e_W50    ? Error in W50
  27- 45 A19    ---   r_W50    Reference for W50 
AGC102728           21  6 2011AJ....142..170H
UGC12894            34    1992ApJS...81....5S
PGC000083           32  2 2018ApJ...861...49H
WLM                 53 18 2004AJ....128...16K
And XVIII           23  5 2012ApJ...752...45T
ESO409-015          53    2005MNRAS.361...34D
AGC748778           16  3 2011AJ....142..170H
And XX              17  9 2013ApJ...768..172C
UGC00064            60    2003A&A...406..829B
ESO349-031          30 18 2004AJ....128...16K
NGC0024            213    2005MNRAS.361...34D
NGC0045            172    2005MNRAS.361...34D
PiscesA             22  1 2015ApJ...798L..21T
NGC0055            169 18 2004AJ....128...16K
NGC0059             50  2 2000A&AS..141..469H
ESO410-005          23    2012HI............K
LV J0015-3825       59    2017MNRAS.472.4832W
And XIX             11  4 2013ApJ...768..172C
IC0010              62  6 1979A&A....75..170H
JKB129              32  2 2016ALFALFA.......A
And XXVI            20  7 2013ApJ...768..172C
Cetus               40  5 2017MNRAS.465.2420W
ESO294-010          23  2 2005AJ....130.2058B
UGC00288            36  1 2003A&A...401..483H
And XXV              7  3 2013ApJ...768..172C
ESO473-024          48    2005MNRAS.361...34D
NGC0147             50 11 2017MNRAS.465.2420W
And III             20  4 2017MNRAS.465.2420W
Cas III             20  1 2014ApJ...793L..14M
And XXX             28 18 2013ApJ...768..172C
And XVII             7  5 2013ApJ...768..172C
And XXVII           20  9 2013ApJ...768..172C
KK7                 29    2017MNRAS.472.4832W
NGC0185             49  4 2017MNRAS.465.2420W
NGC0205            124 11 2003AJ....126.2268W
And IV              90  2 2008MNRAS.386.1667B
MESSIER032         207 21 2009ApJS..183....1H
MESSIER031         510 16 1975MNRAS.170..503D
DDO226              37  2 2008MNRAS.386.1667B
And I               25  2 2017MNRAS.465.2420W
And XI              18  9 2013ApJ...768..172C
NGC0247            207 10 1990AJ....100..641C
And XII              6 12 2010MNRAS.407.2411C
NGC0253            407 18 2004AJ....128...16K
KDG002              26  3 2005AJ....130.2058B
DDO006              19  2 2008MNRAS.386.1667B
ESO540-032          17  3 2005AJ....130.2058B
And XIV             12  1 2017MNRAS.465.2420W
And XIII            14  5 2012ApJ...752...45T
SMC                 90    2004AJ....127.2031K
And IX              23  4 2017MNRAS.465.2420W
NGC0300            147 18 2004AJ....128...16K
LV J0055-2310       55    2017MNRAS.472.4832W
And XVI              9  7 2012ApJ...752...45T
Sculptor            17  1 2017MNRAS.465.2420W
LGS 3               18  1 2003A&A...401..483H
IC1613              27  2 1996ApJS..105..269H
And X               13  3 2017MNRAS.465.2420W
UGC00685            64  2 2008MNRAS.386.1667B
KKH5                37    2004AJ....127.2031K
AM0106-382          38    2012HI............K
NGC0404             79 11 1976A&A....48..405B
And V               25  2 2017MNRAS.465.2420W
And XV              13  5 2017MNRAS.465.2420W
And II              18  1 2017MNRAS.465.2420W
And XXIV             8 16 2013ApJ...768..172C
PiscesB             43  3 2016ApJ...827...89T
And XXII             8  8 2012ApJ...752...45T
UGC01056            42    2005ApJS..160..149S
And XXIII           17  2 2013ApJ...768..172C
UGC01085            36  3 2018ApJ...861...49H
UGC01104            83 17 2005ApJS..160..149S
AGC112454           70  2 2011AJ....142..170H
MESSIER033         181  2 2011AJ....142..170H
AGC114027           31  2 2011AJ....142..170H
KKH6                28  2 2008MNRAS.386.1667B
NGC0625             75    2005MNRAS.361...34D
NGC0628             53  2 2011AJ....142..170H
AGC112503           43  9 2016ALFALFA.......A
UGC01171            25  2 2003A&A...401..483H
DDO013              35  0 2003A&A...401..483H
AGC112521           26  1 2011AJ....142..170H
KK13                31  2 2003A&A...401..483H
KDG010              32  1 2003A&A...401..483H
KK14                28  2 2008MNRAS.386.1667B
ESO245-005          60  1 2012MNRAS.420.2924K
JKB142              38  3 2016ALFALFA.......A
KK15                22  2 2003A&A...401..483H
IC1727             129  2 2011AJ....142..170H
NGC0672            205  3 2011AJ....142..170H
UGC01281           123  2 1996ApJS..105..269H
Phoenix             31 16 2002MNRAS.336..643I
KK16                24  2 2003A&A...401..483H
KK17                20  4 2003A&A...401..483H
NGC0784             88  2 2011AJ....142..170H
UGC01561            39  2 2011AJ....142..170H
Cas1                50  1 2003A&A...401..483H
Triangulum II       12  9 2015ApJ...814L...7K
NGC0855             94  7 2011AJ....142..170H
Segue 2              8  4 2009MNRAS.397.1748B
UGC01807            56  9 1992ApJS...81....5S
NGC0891            456  7 1987MNRAS.224..953S
KKH11               84  2 2008MNRAS.386.1667B
DDO019              87    1981ApJS...47..139F
d0226+3325          40    1998AJ....115..975P
NGC0925            203  8 2005ApJS..160..149S
Halogas             21    2018ApJ...865...36P
KKH12               48  2 2008MNRAS.386.1667B
Hydrus 1 dw          6  1 2018MNRAS.479.5343K
DDO022              52    1981ApJS...47..139F
DDO025              36  1 1990ApJS...72..245S
DDO024              48    1981ApJS...47..139F
MB1                 50  1 2003A&A...401..483H
ESO115-021         121 18 2004AJ....128...16K
Fornax              22  3 2017MNRAS.465.2420W
Maffei2            306  9 1973MNRAS.165..213L
UGC02172            60    2003A&A...406..829B
AGC122226           29  1 2011AJ....142..170H
AGC124635           24  3 2018ApJ...861...49H
AGC123352           25  0 2016ALFALFA.......A
Dw2                100  9 1996A&A...309..687B
Horologium 1        12  7 2015ApJ...811...62K
PGC2807172          65  2 2018ApJ...861...49H
ESO154-023         122 18 2004AJ....128...16K
Dw1                187  2 2000A&AS..141..469H
AGC124056           22  5 2016ALFALFA.......A
ESO199-007          29  4 2016HI............K
GALFA Dw3           19    2022ApJ...924...98B
NGC1156             68  2 2011AJ....142..170H
LV J0300+2546       19  7 2010AJ....140.1093M
Perseus I           10 10 2014ApJ...793L..14M
KKH18               34  1 2003A&A...401..483H
ESO300-014         130    2005MNRAS.361...34D
ESO300-016          37    2005MNRAS.361...34D
NGC1291             40    2004AJ....128...16K
NGC1313            167    2005MNRAS.361...34D
NGC1311             82    2005MNRAS.361...34D
UGC02684            79  4 2005ApJS..160..149S
KK27                10    2012HI............K
UGC02716            44  1 2003A&A...401..483H
UGC02773            81  1 2000A&AS..141..469H
IC1959             128 18 2004AJ....128...16K
