AGC102728         , 000021.4+310119, 10, -10.44,       ,       ,       ,  -3.07,   0.64,   0.25
UGC12894          , 000022.5+392944, 10, -13.45,  -2.23,   0.27,   0.34,  -1.97,   0.53,   0.08
PGC000083         , 000106.5+322241, 10, -12.32,       ,       ,       , <-4.34, <-1.38, > 1.93
WLM               , 000158.1-152740,  9, -14.09,  -2.68,  -0.24,   0.65,  -2.23,   0.21,   0.20
And XVIII         , 000214.5+450520, -3,  -8.73, <-5.97, <-2.28, > 2.75, <-5.84, <-2.15, > 2.62
PAndAS-03         , 000356.4+405319, -3,  -3.56, <-6.26, <-0.50,       , <-6.35, <-0.59,       
PAndAS-04         , 000442.9+472142, -3,  -6.61, <-6.82, <-2.28,       ,  -5.67,  -1.13,       
PAndAS-05         , 000524.1+435535, -3,  -4.50, <-6.47, <-1.09,       , <-6.38, <-1.00,       
ESO409-015        , 000531.8-280553,  9, -14.62,  -1.47,   0.57,  -0.30,  -1.72,   0.32,  -0.05
AGC748778         , 000634.4+153039, 10, -10.35,  -4.64,  -0.90,   1.41,  -3.53,   0.21,   0.30
And XX            , 000730.7+350756, -3,  -5.77, <-6.34, <-1.46,       ,  -5.96,  -1.08,       
UGC00064          , 000744.0+405232, 10, -14.40,  -1.65,   0.48,   0.22,  -1.77,   0.36,   0.34
ESO349-031        , 000813.3-343442, 10, -11.87,  -4.03,  -1.01,   1.29,  -3.02,   0.00,   0.28
dw0009-25         , 000937.8-250257, -2,  -7.69,       ,       ,       , <-4.64, <-0.53,       
NGC0024           , 000956.4-245748,  5, -17.66,  -1.01,  -0.36,  -0.22,  -0.60,   0.05,  -0.63
dw0010-25         , 001038.2-252006, -2, -11.15,       ,       ,       , <-4.64, <-1.91,       
NGC0045           , 001403.9-231056,  8, -17.82,  -0.54,   0.27,  -0.15,  -0.45,   0.36,  -0.24
PiscesA           , 001446.0+104847, 10, -10.70,  -3.67,  -0.06,   0.76,       ,       ,       
NGC0055           , 001453.6-391148,  8, -18.76,  -0.28,   0.36,  -0.15,   0.07,   0.71,  -0.50
NGC0059           , 001525.1-212638, -3, -15.57,  -1.98,  -0.50,  -0.55,  -2.27,  -0.79,  -0.26
ESO410-005        , 001531.4-321048, 10, -11.59, <-6.26, <-3.01, > 2.30,  -3.96,  -0.71,   0.00
LV J0015-3825     , 001538.3-382541, 10, -11.08,       ,       ,       ,  -3.11,   0.34,   0.47
And XIX           , 001932.1+350237, -3,  -9.62, <-6.25, <-2.91,       , <-6.27, <-2.93,       
IC0010            , 002024.5+591730, 10, -16.39,  -1.38,   0.12,  -0.33,       ,       ,       
JKB129            , 002041.4+083701, 10, -12.85,  -2.89,  -0.14,   0.61,  -2.54,   0.21,   0.26
And XXVI          , 002345.6+475458, -3,  -5.17, <-6.36, <-1.24,       , <-6.30, <-1.18,       
Sc22              , 002351.7-244218, -3, -10.50, <-5.56, <-2.58, > 0.69,  -5.00,  -2.02,   0.13
Cetus             , 002611.0-110240, -1, -10.20, <-5.51, <-2.41, > 1.04, <-6.54, <-3.44, > 2.07
ESO294-010        , 002633.3-415120, 10, -11.03,  -4.28,  -0.44,  -0.07,  -3.81,   0.03,  -0.54
UGC00288          , 002904.0+432554, 10, -13.86,  -2.61,  -0.27,   0.43,  -2.33,   0.01,   0.15
And XXV           , 003008.9+465107, -3,  -8.57, <-6.38, <-2.62,       , <-6.28, <-2.52,       
ESO473-024        , 003122.5-224557, 10, -13.68,  -2.10,   0.31,   0.41,  -1.94,   0.47,   0.25
NGC0147           , 003311.6+483028, -3, -14.78,  -6.33,  -4.41,   0.20, <-6.09, <-4.17, >-0.04
ScuSR             , 003351.8-275024, 10, -10.26,       ,       ,       ,  -4.34,  -0.56,   1.01
And III           , 003533.8+362952, -3,  -8.87,  -6.21,  -2.57,   1.89, <-6.59, <-2.95, > 2.27
Cas III           , 003559.4+513335, -3, -11.53, <-6.35, <-3.78,       ,       ,       ,       
dw0036-2828       , 003630.6-282812, 10,  -8.95,       ,       ,       ,  -4.85,  -0.55,       
And XXX           , 003634.9+493848, -3,  -7.48, <-6.52, <-2.33,       ,       ,       ,       
And XVII          , 003707.0+441920, -2,  -7.08,  -5.57,  -1.22,   1.24,  -5.71,  -1.36,   1.38
And XXVII         , 003727.1+452313, -3,  -7.33, <-6.42, <-2.17,       , <-6.32, <-2.07,       
KK7               , 003742.4-433016, 10, -13.60,       ,       ,       ,  -2.68,  -0.23,   0.15
NGC0185           , 003858.0+482010, -3, -14.91,  -4.73,  -2.95,  -0.06,       ,       ,       
NGC0205           , 004022.5+414111, -2, -16.17, <-7.73, <-6.49, > 3.44,  -3.12,  -1.88,  -1.17
And IV            , 004232.3+403419, 10, -12.41,  -3.12,  -0.20,   1.69,  -2.42,   0.50,   0.99
MESSIER032        , 004242.1+405159, -2, -16.05,  -5.88,  -4.83,   2.43,  -3.59,  -2.54,   0.14
MESSIER031        , 004244.5+411609,  3, -21.40,  -0.27,  -0.87,   0.13,  -0.40,  -1.00,   0.26
DDO226            , 004303.8-221501, 10, -13.63,  -2.90,  -0.47,   0.56,  -2.46,  -0.03,   0.12
And I             , 004540.0+380214, -3, -10.55,  -6.54,  -3.57,   2.20,  -6.16,  -3.19,   1.82
And XI            , 004620.0+334805, -3,  -5.68,  -5.75,  -0.84,   1.41,  -5.71,  -0.80,   1.37
DoII              , 004707.2-235721, -1,  -6.47,       ,       ,       , <-5.29, <-0.69,       
NGC0247           , 004708.3-204536,  7, -18.56,  -0.55,   0.09,  -0.14,  -0.25,   0.39,  -0.44
And XII           , 004727.0+342229, -3,  -6.19, <-6.43, <-1.72, > 2.20, <-6.20, <-1.49, > 1.97
NGC0253           , 004734.3-251732,  5, -21.15,   0.26,  -0.58,  -1.04,   0.34,  -0.50,  -1.12
Scl-MM-Dw1        , 004734.9-262320, -3,  -8.75,       ,       ,       , <-5.18, <-1.50, > 2.31
KDG002            , 004921.1-180428, 10, -11.49, <-5.72, <-2.43, > 1.84,  -3.83,  -0.54,  -0.05
DDO006            , 004949.3-210058, 10, -12.45,  -4.14,  -1.09,   1.33,  -2.86,   0.19,   0.05
ESO540-032        , 005024.6-195425, 10, -11.45,  -4.98,  -1.68,   1.14,  -3.91,  -0.61,   0.07
Bol520            , 005042.4+325459, -3,  -8.09, <-6.77, <-2.23,       ,  -6.09,  -1.55,       
And XIV           , 005135.0+294149, -3,  -7.79,  -5.82,  -1.75,   1.48, <-6.49, <-2.42, > 2.15
And XIII          , 005151.0+330016, -3,  -6.17, <-6.42, <-1.70, > 2.20, <-6.30, <-1.58, > 2.08
SMC               , 005238.0-724801,  9, -16.50,  -1.34,  -0.05,   0.12,       ,       ,       
And IX            , 005252.8+431200, -3,  -8.21,  -6.87,  -2.97,   2.60,  -6.22,  -2.32,   1.95
NGC0300           , 005453.5-374057,  7, -17.85,  -0.78,  -0.05,   0.23,  -0.56,   0.17,   0.01
LV J0055-2310     , 005501.0-231009, 10,  -9.76,       ,       ,       ,  -3.79,   0.19,   0.56
PAndAS-48         , 005928.2+312910, -3,  -4.31, <-6.30, <-0.84,       , <-6.37, <-0.91,       
And XVI           , 005929.8+322236, -3,  -6.79, <-6.76, <-2.29, > 2.13,  -5.81,  -1.34,   1.18
Sculptor          , 010009.4-334233, -3,  -9.77,       ,       ,       ,  -8.11,  -4.83,   3.63
PAndAS-50         , 010150.6+481819, -3,  -5.82, <-6.20, <-1.34,       , <-6.10, <-1.24,       
LGS 3             , 010355.0+215306, 10,  -9.26, <-6.85, <-2.67, > 2.00,  -5.23,  -1.05,   0.38
IC1613            , 010447.8+020760, 10, -14.62,  -2.35,  -0.31,   0.28,  -2.04,   0.00,  -0.03
And X             , 010633.7+444816, -3,  -6.56,  -5.51,  -0.95,   1.04, <-6.39, <-1.83, > 1.92
UGC00685          , 010722.3+164102,  9, -14.44,  -2.25,  -0.14,   0.18,  -2.27,  -0.16,   0.20
KKH5              , 010732.5+512625, 10, -12.74,  -2.62,   0.17,  -0.19,       ,       ,       
PAndAS-C02        , 010753.9+482242, -3,  -4.83,       ,       ,       , <-6.05, <-0.80,       
