col1_1,logSFR_total_1,ID_1,logM_total_1,M_total_1,sSFR_1,logSFR_pred_1,logSFR_pred_sigma_1,t_sf_up,t_sf_sigma_up,tau_up,tau_sigma_up,A_up,A_sigma_up,x_up,x_sigma_up,diff_1,flag_1,col1_2,logSFR_total_2,ID_2,logM_total_2,M_total_2,sSFR_2,logSFR_pred_2,logSFR_pred_sigma_2,t_sf_np,t_sf_sigma_np,tau_np,tau_sigma_np,A_np,A_sigma_np,x_np,x_sigma_np,diff_2,flag_2,logM_total_3,sSFR_3,ID_3,x_n,tau_n,A_n
1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0497768569052182,0.100616284767809,10.7866709354545,2.05881348637496,1.97819611454545,0.489453699674571,7.91145185515152E10,1.06967050134969E9,5.54656585909091,0.460099969007722,0.016223142737154,Keep,1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0237308397296752,0.100696051460017,12.2009997006061,1.41423847152383,2.34880286575758,0.382271091214649,7.97091012151515E10,1.16696038197032E9,5.24897784636364,0.411656767825677,0.0422691599126969,Keep,10.772199630737305,1.4514442847281974E-11,1,1.3150808176487331E-8,1.0341569748021867E9,6.755134933202219E25
2,-3.91698914048348,2,8.02381385238372,1.05636463238837E8,1.14603269341832E-12,-3.90543568757576,0.0986703374157396,11.6965556857576,1.31827181247637,1.31288288878788,0.171581313783728,1.37505285787879E8,1043949.6951003,8.93422827242424,0.315834957738687,0.011553452907719,Keep,2,-3.91698914048348,2,8.02381385238372,1.05636463238837E8,1.14603269341832E-12,-3.89680395666667,0.0996861560685075,12.2606449724242,1.18407341212621,1.38972367424242,0.15936961189156,1.37526799636364E8,1057281.56058275,8.84589425787879,0.320801055388924,0.0201851838168099,Keep,8.023813852383716,1.1460326934183237E-12,2,1.0952930764771878E-8,1.24167679793448E9,1.3724264765455113E22
3,-1.38900005817413,3,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39991281151515,0.0955867720996094,8.60847916393939,1.92878246957023,12.1030704133333,4.99655409980588,1.53116689245455E9,8.87724012437405E8,0.861954393181818,0.430778979941718,-0.0109127533410183,Keep,3,-1.38900005817413,3,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39601351333333,0.100697008594882,6.34115482909091,1.10173887063081,4.18067134030303,0.972172069020734,5.23105138939394E8,1.25822102709142E8,1.56979328339394,0.318548364971969,-0.00701345515920004,Keep,8.244799613952637,2.3238084568901466E-10,3,3.015974527123496E-8,4.5093219049734753E8,6.104969870772293E23
4,-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.26462908575758,0.100231770615176,4.45838109727273,1.01778965662797,11.7071864657576,5.1373721491065,2.90675341045455E7,2.20761695212023E7,0.492813344939394,0.312736061162127,-0.0163903605295967,Keep,4,-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.26022225424242,0.100337318065281,3.70445547363636,0.686532388848341,4.12699454090909,0.976475214799855,6595770.57212121,2529729.25769278,0.938645016,0.239789218162268,-0.011983529014445,Keep,6.033813852383717,5.223329492330403E-10,4,7.115454354933503E-9,1.9113326179333065E9,1.5166833256087735E23
5,-1.51057887136899,5,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47863965484848,0.103862718675576,10.7823919530303,2.29816394942116,3.40527083424242,1.24495795676086,9.35503148151515E8,1.10467788654779E8,3.38014306960606,0.636138206758331,0.0319392165205044,Keep,5,-1.51057887136899,5,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47832856666667,0.0936922260179928,11.7266421087879,1.4817965010196,3.74788156515151,0.770613598959383,9.44911552454545E8,6.824753809866E7,3.20176131272727,0.423258468375995,0.0322503047023226,Keep,8.773813852383716,5.195259871693041E-11,5,3.0556414889573738,4.450783918580875,9.545605413787508E8
6,-1.98018926331852,6,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96720880787879,0.0988818857842509,12.1054408909091,1.04583105924833,1.21701181515152,0.120385352568802,2.78277094575758E10,2.13369878234191E8,9.96261297212121,0.294324357943068,0.0129804554397326,Keep,6,-1.98018926331852,6,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96024752363636,0.0994098294074515,12.4261256278788,0.992933107168422,1.25603534909091,0.116929596609571,2.78266290030303E10,2.11507314491706E8,9.90910892212121,0.298852741341474,0.0199417396821568,Keep,10.330300331115723,4.892269867261196E-13,6,1.1076808860192908E-8,1.2277904378105474E9,1.1601665148715783E24
7,-3.66767825793574,7,7.97381385238372,9.41485969627445E7,2.28301039897797E-12,-3.65569728575758,0.098925352798662,11.4269895775758,1.52275635720328,1.4229518069697,0.224194432897895,1.22753618454545E8,938733.464858277,8.06694062909091,0.342826322575131,0.0119809721781672,Keep,7,-3.66767825793574,7,7.97381385238372,9.41485969627445E7,2.28301039897797E-12,-3.64375858030303,0.101042882367484,12.1784232145455,1.30245379033948,1.53928720787879,0.19918324649577,1.22798289969697E8,943270.857308858,7.94176588060606,0.342134976617232,0.0239196776327129,Keep,7.973813852383717,2.283010398977972E-12,7,1.0569261128046797E-8,1.2867503068791418E9,2.616805231038011E22
8,-3.659,8,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11665030242424,0.0243811652710819,13.7553096848485,0.0429962210741719,1.00355101909091,0.00348481016190847,5.02058273666667E10,3.86074163009479E8,13.7067965030303,0.0628064180475014,0.542349697575757,Keep,8,-3.659,8,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11648904848485,0.0247845736748258,13.7555166636364,0.0431727317108457,1.00360138,0.00353436711966053,5.02049002424242E10,3.85936825691188E8,13.7063218090909,0.0638421022257764,0.542510951515151,Keep,10.587400436401367,5.670215483879271E-15,8,1.1174755096013776E-8,1.2170289087455125E9,2.3881570597779383E22
9,-2.98099994659424,9,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.9654297769697,0.0997775952376493,10.8238712036364,2.01555798756231,1.92701228606061,0.46124041489722,1.06732898545455E8,1290670.90199782,5.70401612151515,0.446612277883952,0.0155701696245414,Keep,9,-2.98099994659424,9,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.94100748939394,0.102445453804674,12.1972848354545,1.42100134794063,2.27167918666667,0.366229249865586,1.07401023090909E8,1421472.9501445,5.42256484181818,0.411657996122022,0.0399924572002988,Keep,7.903813852383717,1.3037256227874942E-11,9,1.4310988147097117E-8,9.503187243404057E8,6.9374477297723206E22
10,-1.32400000095367,10,9.21640014648438,1.64588749836511E9,2.88137545664526E-11,-1.30146072960606,0.101965649381439,10.7034003527273,2.20262968980506,2.47889630212121,0.7261784416388,2.30130454060606E9,8.15472607732687E7,4.45737500757576,0.541041863485634,0.0225392713476138,Keep,10,-1.32400000095367,10,9.21640014648438,1.64588749836511E9,2.88137545664526E-11,-1.27728441254545,0.0999671127439259,12.1726085830303,1.39269376125273,3.0009449469697,0.546550733783849,2.34804627242424E9,8.41573288573201E7,4.12489193424242,0.441039551203654,0.0467155884082198,Keep,9.216400146484375,2.881375456645257E-11,10,-1.4357225018797226E-8,-9.472582607150178E8,3.128944695728736E24
11,-2.18400001525879,11,8.38920021057129,2.45019252487671E8,2.67177433781371E-11,-2.1627498,0.101829186816076,10.7265622678788,2.1974043290129,2.41064375636364,0.692596061509155,3.39975481636364E8,1.05425017301823E7,4.58274947151515,0.52977527667215,0.0212502152587892,Keep,11,-2.18400001525879,11,8.38920021057129,2.45019252487671E8,2.67177433781371E-11,-2.13540057212121,0.101560234695486,12.204699319697,1.38322229390603,2.92448685333333,0.524282046481631,3.4654687730303E8,1.13901202176894E7,4.24076272939394,0.442141277494811,0.0485994431375771,Keep,8.389200210571289,2.671774337813708E-11,11,-7.898999118980594E-9,-1.721737120760073E9,1.4269040115119198E24
