col1_1,logSFR_total_1,ID_1,logM_total_1,M_total_1,sSFR_1,logSFR_pred_1,logSFR_pred_sigma_1,t_sf_up,t_sf_sigma_up,tau_up,tau_sigma_up,A_up,A_sigma_up,x_up,x_sigma_up,diff_1,flag_1,col1_2,logSFR_total_2,ID_2,logM_total_2,M_total_2,sSFR_2,logSFR_pred_2,logSFR_pred_sigma_2,t_sf_np,t_sf_sigma_np,tau_np,tau_sigma_np,A_np,A_sigma_np,x_np,x_sigma_np,diff_2,flag_2,logM_total_3,sSFR_3,ID_3,x_n,tau_n,A_n,Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,M_ratio,logM_ratio,ID,gr,bv,bu,MB,MR
1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0497768569052182,0.100616284767809,10.7866709354545,2.05881348637496,1.97819611454545,0.489453699674571,7.91145185515152E10,1.06967050134969E9,5.54656585909091,0.460099969007722,0.016223142737154,Keep,1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0237308397296752,0.100696051460017,12.2009997006061,1.41423847152383,2.34880286575758,0.382271091214649,7.97091012151515E10,1.16696038197032E9,5.24897784636364,0.411656767825677,0.0422691599126969,Keep,10.772199630737305,1.4514442847281974E-11,1,1.3150808176487331E-8,1.0341569748021867E9,6.755134933202219E25,NGC3368,161.69083333333333,11.819722222222222,8.91,0.68,0.11,6.3,,343,3,,,893,10.42,Cep,27.25,49,210,0.31,23.1,10.83,11.14,,9.18,740,0.6,NGC3351,1.0,2.0,,10.11,,,14.2,0.07,,12.98,,,15.03,0.15,893,2,3,2011AJ....142..170H,30.09,0.07,-20.4,,-0.36,,-1.06,,-0.33,,-0.54,,-1.24,,-0.15,6.760829753919819E10,1.3803842646028867E11,1.513561248436207E9,0.436515832240166,0.28840315031266056,0.3624594912764133,-0.4407405234327752,3.6245949127641326E8,8.559259476567226,4.056497852351891E10,10.608151250383644,32192,NGC3368,MESSIER 096,MESSIER 096,NGC 3368,M96,-,-,161.690407,11.819923,0,4.13,2.754,4.6,H,1,2.1,0.7,51.07,892.0,1.6,927.1,13.41,48,1,10.8319,0.5522,10.4646,11.256,9.6819,11.8847,N,10.391,10.081,9.211,9.211,0.096,0.096,0.089,0.089,0.109,0.226,0.98,0.51,10.51,31.63,4,4,4,4,,,,,,,,,0,0,7.236,6.568,6.32,0.018,0.019,0.023,1,,,,,,,,,,,43.3436,43.0167,42.8676,,,10.8574,,-0.066,-0.087,-0.197,,,-0.066,RT,10.7722,,,,,-1,-1,N,N,1.6670980505752446,10.8319,892.0,2.1,10.857399940490723,6.320000171661377,10.081000328063965,-0.06599999964237213,0.8590135222127664,10.772199630737305,5.9183361790123985E10,1.4514442847281974E-11,-10.838199630379677,0.0340135538018064,-1.4683479897702192,1,,0.8699999,-0.30999947,-20.09252288172084,
2,-3.91698914048348,2,8.02381385238372,1.05636463238837E8,1.14603269341832E-12,-3.90543568757576,0.0986703374157396,11.6965556857576,1.31827181247637,1.31288288878788,0.171581313783728,1.37505285787879E8,1043949.6951003,8.93422827242424,0.315834957738687,0.011553452907719,Keep,2,-3.91698914048348,2,8.02381385238372,1.05636463238837E8,1.14603269341832E-12,-3.89680395666667,0.0996861560685075,12.2606449724242,1.18407341212621,1.38972367424242,0.15936961189156,1.37526799636364E8,1057281.56058275,8.84589425787879,0.320801055388924,0.0201851838168099,Keep,8.023813852383716,1.1460326934183237E-12,2,1.0952930764771878E-8,1.24167679793448E9,1.3724264765455113E22,KDG061,149.26124999999996,68.59166666666667,1.41,0.58,0.31,10.9,*,,-1,Sph,N,221,3.66,TRGB,1.58,64,,0.0,24.4,8.11,,,,360,4.0,MESSIER081,4.0,1.91,,15.24,0.1,,22.41,0.58,,,,>,23.47,,221,3,,,27.82,0.02,-12.89,<,-4.67,<,-2.64,,,,-4.82,,-2.79,,,1.2882495516931322E8,,,2.1379620895022323E-5,1.5135612484362071E-5,1.8257616689692196E-5,-4.738555914976395,18257.616689692193,4.261444085023605,7.729497310158794E7,7.888151250383643,28731,PGC028731,KDG 061,KDG 061,,,-,-,149.261883,68.592923,0,0.162,0.162,0.0,H,2,4.5,5.6,13.62,216.1,12.8,455.0,16.56,1,1,3.6141,0.1331,3.4834,3.7497,3.3574,3.8904,N,,15.659,,,,0.025,,,0.315,0.02,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,4.5986471279697305,3.6141,216.1,4.5,8.11,10.9,15.659000396728516,-3.9169891404834765,1.2106284048878994E-4,8.023813852383716,1.0563646323883685E8,1.1460326934183237E-12,-11.940802992867193,,,2,,,,-12.131000428578883,
3,-1.38900005817413,3,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39991281151515,0.0955867720996094,8.60847916393939,1.92878246957023,12.1030704133333,4.99655409980588,1.53116689245455E9,8.87724012437405E8,0.861954393181818,0.430778979941718,-0.0109127533410183,Keep,3,-1.38900005817413,3,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39601351333333,0.100697008594882,6.34115482909091,1.10173887063081,4.18067134030303,0.972172069020734,5.23105138939394E8,1.25822102709142E8,1.56979328339394,0.318548364971969,-0.00701345515920004,Keep,8.244799613952637,2.3238084568901466E-10,3,3.015974527123496E-8,4.5093219049734753E8,6.104969870772293E23,IC4870,294.40666666666664,-65.81194444444444,1.74,0.56,0.49,12.1,,78,9,BCD,N,877,8.51,TRGB,4.67,66,37,0.0,24.0,8.34,8.87,,8.62,740,-0.2,NGC6744,0.1,1.14,,14.5,,,15.53,0.13,,13.92,,,17.04,0.13,877,18,,2005MNRAS.361...34D,29.65,0.05,-15.64,,-1.32,,0.47,,0.07,,-1.19,,0.6,,-0.06,2.187761623949552E8,7.413102413009162E8,4.1686938347033465E8,0.047863009232263824,0.06456542290346556,0.0562142160678647,-1.2501538413865825,5.621421606786469E7,7.749846158613417,1.3126569743697311E8,8.118151250383644,63432,IC4870,IC 4870,IC 4870,F19327-6555,19373757-6548425,-,-,294.406584,-65.811819,0,0.836,0.433,131.5,H,1,10.0,0.5,70.14,877.2,2.9,674.9,10.56,1,1,8.5114,0.392,8.1283,8.9125,7.7625,9.3325,N,14.278,14.608,14.623,14.623,0.253,0.253,0.095,0.095,0.489,0.529,0.0812,0.1221,0.713,2.308,1,2,3,1,,,,,,,,,0,0,12.725,12.463,12.115,0.05,0.084,0.107,2,,,,,,,,,,,,41.6561,41.4897,,,8.33,,,-1.448,-1.575,,,-1.389,FF,8.2448,,,,,-1,-1,?,?,0.4677725337489105,8.5114,877.2,10.0,8.329999923706055,12.114999771118164,14.607999801635742,-1.3890000581741333,0.04083193316379497,8.244799613952637,1.757112684684804E8,2.3238084568901466E-10,-9.63379967212677,3.155382604929527,0.4990520270144483,3,,-0.015000343,0.32999992,-15.042005203409634,
4,-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.26462908575758,0.100231770615176,4.45838109727273,1.01778965662797,11.7071864657576,5.1373721491065,2.90675341045455E7,2.20761695212023E7,0.492813344939394,0.312736061162127,-0.0163903605295967,Keep,4,-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.26022225424242,0.100337318065281,3.70445547363636,0.686532388848341,4.12699454090909,0.976475214799855,6595770.57212121,2529729.25769278,0.938645016,0.239789218162268,-0.011983529014445,Keep,6.033813852383717,5.223329492330403E-10,4,7.115454354933503E-9,1.9113326179333065E9,1.5166833256087735E23,BK3N,148.45208333333332,68.96916666666667,0.32,0.8,0.35,16.1,*,15,10,Ir,N,-40,4.17,TRGB,0.41,41,4,0.0,24.7,6.12,5.83,,7.29,101,1.0,MESSIER081,1.1,1.9,,18.78,0.06,,19.45,0.09,,15.7,,,25.17,0.55,-40,,,2004AJ....127.2031K,28.1,0.13,-9.67,,-5.23,,-1.21,,2.65,,-3.49,,0.53,,0.91,1318256.7385564074,676082.9753919819,1.9498445997580454E7,5.888436553555884E-6,3.235936569296281E-4,1.64741046741592E-4,-3.783198178897113,164741.04674159197,5.216801821102886,790954.0431338444,5.898151250383644,28529,PGC028529,BK 03N,BK 03N,,,-,-,148.452695,68.969138,1,0.122,0.11,0.0,H,1,10.0,2.0,29.47,-40.0,6.9,199.2,12.53,3,1,3.8885,0.1112,3.8061,3.9524,3.7476,4.2364,N,,18.677,18.263,18.263,,0.298,0.082,0.082,0.344,0.09,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.7969430915444607,3.8885,-40.0,10.0,6.12,16.1,18.677000045776367,-3.248238725227979,5.646265226791278E-4,6.033813852383717,1080970.5256162542,5.223329492330403E-10,-9.282052577611696,23.990416539801405,1.380037788583369,4,,0.41399956,,-9.271910470679348,
5,-1.51057887136899,5,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47863965484848,0.103862718675576,10.7823919530303,2.29816394942116,3.40527083424242,1.24495795676086,9.35503148151515E8,1.10467788654779E8,3.38014306960606,0.636138206758331,0.0319392165205044,Keep,5,-1.51057887136899,5,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47832856666667,0.0936922260179928,11.7266421087879,1.4817965010196,3.74788156515151,0.770613598959383,9.44911552454545E8,6.824753809866E7,3.20176131272727,0.423258468375995,0.0322503047023226,Keep,8.773813852383716,5.195259871693041E-11,5,3.0556414889573738,4.450783918580875,9.545605413787508E8,IC4951,302.38249999999994,-61.85055555555556,3.24,0.18,0.17,11.0,*,122,8,,,814,9.19,TRGB,8.38,83,53,0.25,24.7,8.86,9.44,,8.69,701,,,,,,13.97,,,15.55,0.05,,13.91,,,17.48,0.12,814,18,,2005MNRAS.361...34D,29.82,,-16.27,,-1.45,,-0.17,,0.28,,-1.19,,0.09,,0.02,7.244359600749891E8,2.7542287033381634E9,4.8977881936844563E8,0.03548133892335755,0.06456542290346556,0.05002338091341156,-1.300826959098556,5.002338091341156E7,7.699173040901444,4.3466157604499346E8,8.638151250383643,64181,IC4951,IC 4951,IC 4951,,,-,-,302.382447,-61.850409,0,1.535,0.354,175.2,H,1,7.5,1.6,90.0,813.1,2.5,620.9,10.94,6,1,9.4238,2.2013,7.6389,12.3137,6.6838,16.0652,N,,14.009,,,,0.179,,,0.173,1.143,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.5352236628540196,9.4238,813.1,7.5,8.86,11.0,14.008999824523926,-1.5105788713689892,0.030861791198509906,8.773813852383716,5.940374872614911E8,5.195259871693041E-11,-10.284392723752704,1.0965736064284586,0.04003778858336924,5,,,,-15.862130478322534,
6,-1.98018926331852,6,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96720880787879,0.0988818857842509,12.1054408909091,1.04583105924833,1.21701181515152,0.120385352568802,2.78277094575758E10,2.13369878234191E8,9.96261297212121,0.294324357943068,0.0129804554397326,Keep,6,-1.98018926331852,6,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96024752363636,0.0994098294074515,12.4261256278788,0.992933107168422,1.25603534909091,0.116929596609571,2.78266290030303E10,2.11507314491706E8,9.90910892212121,0.298852741341474,0.0199417396821568,Keep,10.330300331115723,4.892269867261196E-13,6,1.1076808860192908E-8,1.2277904378105474E9,1.1601665148715783E24,NGC3377,161.92666666666665,13.985555555555555,5.25,0.58,0.15,7.4,,,-2,,,678,10.42,TRGB,16.19,68,,0.0,23.4,10.38,,,,536,1.1,NGC3368,1.2,2.09,,11.24,,,18.05,0.03,,,,,18.47,0.06,678,6,,,30.09,0.02,-19.0,,-1.79,,-2.03,,,,-2.29,,-2.53,,,2.3988329190194946E10,,,0.0162181009735893,0.005128613839913648,0.010673357406751474,-1.9716989475978866,1.0673357406751473E7,7.028301052402114,1.4392997514116968E10,10.158151250383645,32249,NGC3377,NGC 3377,NGC 3377,,NGC3377,-,-,161.926566,13.985641,0,1.936,0.935,36.5,H,1,-4.8,0.5,90.0,681.9,11.5,728.1,17.66,16,1,10.9132,0.526,10.7265,11.0017,10.0166,13.0606,N,11.439,11.129,10.269,10.269,0.171,0.171,0.171,0.171,0.147,0.0,,,,,0,0,0,0,,,,,,,,,0,0,8.285,7.629,7.441,0.019,0.022,0.029,1,,,,,,,,,,,,,,,,10.4155,,,,,,,,,10.3303,,,,,-1,-1,Y,Y,0.46720503454054196,10.9132,681.9,-4.8,10.415499687194824,7.440999984741211,11.128999710083008,-1.9801892633185205,0.010466723141937466,10.330300331115723,2.139441082753878E10,4.892269867261196E-13,-12.310489594434243,,,6,,0.85999966,-0.31000042,-19.060760861635075,
7,-3.66767825793574,7,7.97381385238372,9.41485969627445E7,2.28301039897797E-12,-3.65569728575758,0.098925352798662,11.4269895775758,1.52275635720328,1.4229518069697,0.224194432897895,1.22753618454545E8,938733.464858277,8.06694062909091,0.342826322575131,0.0119809721781672,Keep,7,-3.66767825793574,7,7.97381385238372,9.41485969627445E7,2.28301039897797E-12,-3.64375858030303,0.101042882367484,12.1784232145455,1.30245379033948,1.53928720787879,0.19918324649577,1.22798289969697E8,943270.857308858,7.94176588060606,0.342134976617232,0.0239196776327129,Keep,7.973813852383717,2.283010398977972E-12,7,1.0569261128046797E-8,1.2867503068791418E9,2.616805231038011E22,KDG063,151.28041666666667,66.55499999999999,1.91,0.88,0.41,11.0,*,,-3,Tr,L,,3.65,TRGB,2.27,34,,0.0,25.3,8.06,,,,,2.2,MESSIER081,2.4,1.91,,15.44,,>,23.0,,,,,,22.18,0.07,,,,,27.81,0.01,-12.78,,-4.14,,-2.07,,,<,-4.98,<,-2.91,,,1.1481536214968841E8,,,7.244359600749906E-5,1.0471285480508985E-5,4.1457440744004024E-5,-4.382397511336776,41457.440744004016,4.617602488663224,6.888921728981304E7,7.838151250383644,29257,UGC05428,UGC 05428,UGC 05428,,,-,-,151.279865,66.559049,0,0.43,0.43,0.0,H,2,9.8,0.5,18.85,-127.4,3.6,108.0,11.34,7,1,3.565,0.2193,3.4401,3.6455,3.2695,4.4212,N,,15.794,,,,0.321,,,0.423,0.036,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,14.5977977474727,3.565,-127.4,9.8,8.06,11.0,15.793999671936035,-3.667678257935743,2.1494222591513163E-4,7.973813852383717,9.41485969627445E7,2.283010398977972E-12,-11.64149211031946,,,7,,,,-11.966297999003388,
8,-3.659,8,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11665030242424,0.0243811652710819,13.7553096848485,0.0429962210741719,1.00355101909091,0.00348481016190847,5.02058273666667E10,3.86074163009479E8,13.7067965030303,0.0628064180475014,0.542349697575757,Keep,8,-3.659,8,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11648904848485,0.0247845736748258,13.7555166636364,0.0431727317108457,1.00360138,0.00353436711966053,5.02049002424242E10,3.85936825691188E8,13.7063218090909,0.0638421022257764,0.542510951515151,Keep,10.587400436401367,5.670215483879271E-15,8,1.1174755096013776E-8,1.2170289087455125E9,2.3881570597779383E22,NGC3384,162.07041666666666,12.629166666666666,5.5,0.45,0.12,6.8,,,-1,,,704,9.42,TRGB,14.98,80,,0.0,23.1,10.56,,,,556,0.4,NGC3351,0.6,1.41,,10.85,,,,,,,,>,24.66,0.59,704,,,,29.87,0.02,-19.14,<,-4.37,<,-4.8,,,,,,,,,3.630780547701018E10,,,4.265795188015926E-5,,4.265795188015926E-5,-4.37,42657.95188015925,4.63,2.1784683286206104E10,10.338151250383644,32292,NGC3384,NGC 3384,NGC 3384,,NGC3371,1237661951318556677,-,162.070416,12.629338,0,2.618,1.186,53.0,H,1,-2.6,0.8,90.0,563.1,5.9,603.1,14.61,11,1,10.6732,1.011,9.7786,12.0201,9.2933,12.9137,N,12.735,10.89,9.96,9.96,0.02,0.146,0.146,0.146,0.116,0.0,,,,,0,0,0,0,8.588181,8.602882,7.599893,6.289497,4.7E-5,1.78E-4,0.004645,0.034802,0,0,7.667,7.001,6.75,0.016,0.017,0.019,1,12.735,10.758,10.016,16.477,9.352,0.002,0.001,0.001,0.364,0.001,,,,,,10.6726,,,,,,,,,10.5874,,,,,-1,-1,Y,Y,0.6168044460388579,10.6732,563.1,-2.6,10.672599792480469,6.75,10.890000343322754,-3.659,2.1928049353504497E-4,10.587400436401367,3.867233867186728E10,5.670215483879271E-15,-14.246400436401368,,,8,0.7420006,0.9300003,-1.8449993,-19.251472894374814,-19.987471740665924
9,-2.98099994659424,9,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.9654297769697,0.0997775952376493,10.8238712036364,2.01555798756231,1.92701228606061,0.46124041489722,1.06732898545455E8,1290670.90199782,5.70401612151515,0.446612277883952,0.0155701696245414,Keep,9,-2.98099994659424,9,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.94100748939394,0.102445453804674,12.1972848354545,1.42100134794063,2.27167918666667,0.366229249865586,1.07401023090909E8,1421472.9501445,5.42256484181818,0.411657996122022,0.0399924572002988,Keep,7.903813852383717,1.3037256227874942E-11,9,1.4310988147097117E-8,9.503187243404057E8,6.9374477297723206E22,KDG064,151.75791666666666,67.8275,1.95,0.47,0.25,11.2,*,,-3,Tr,L,-15,3.75,TRGB,2.22,90,,0.0,25.5,7.99,,,,121,2.8,MESSIER081,2.9,1.89,,15.52,0.1,,24.07,0.41,,,,,22.91,0.21,-15,13,,,27.87,0.02,-12.6,,-4.44,,-2.3,,,,-5.51,,-3.37,,,9.772372209558111E7,,,3.63078054770101E-5,3.090295432513592E-6,1.9699050454761844E-5,-4.705554707452419,19699.05045476184,4.294445292547581,5.8634233257348664E7,7.768151250383644,29388,UGC05442,UGC 05442,UGC 05442,,,1237663549058383917,-,151.757611,67.827539,1,0.861,0.861,0.0,H,2,9.8,0.5,71.61,-15.9,9.6,223.3,14.31,9,1,3.7062,0.1144,3.6615,3.7557,3.4387,3.8632,N,,16.7,,,,1.347,,,0.23,0.549,,,,,0,0,0,0,12.53739,12.487239,10.354626,10.288332,0.007167,0.021784,0.243125,4.222333,0,0,,,,,,,0,19.136,16.291,15.548,15.254,15.025,0.337,0.01,0.009,0.011,0.032,,,,38.9723,,,,,,,-2.969,,-2.981,W3,,,,,,-1,-1,?,?,0.4383778326055434,3.7062,-15.9,9.8,7.99,11.2,16.700000762939453,-2.9809999465942383,0.0010447203476914228,7.903813852383717,8.013345211837652E7,1.3037256227874942E-11,-10.884813798977955,,,9,0.74300003,,,-11.144643495667234,-15.410372370986554
10,-1.32400000095367,10,9.21640014648438,1.64588749836511E9,2.88137545664526E-11,-1.30146072960606,0.101965649381439,10.7034003527273,2.20262968980506,2.47889630212121,0.7261784416388,2.30130454060606E9,8.15472607732687E7,4.45737500757576,0.541041863485634,0.0225392713476138,Keep,10,-1.32400000095367,10,9.21640014648438,1.64588749836511E9,2.88137545664526E-11,-1.27728441254545,0.0999671127439259,12.1726085830303,1.39269376125273,3.0009449469697,0.546550733783849,2.34804627242424E9,8.41573288573201E7,4.12489193424242,0.441039551203654,0.0467155884082198,Keep,9.216400146484375,2.881375456645257E-11,10,-1.4357225018797226E-8,-9.472582607150178E8,3.128944695728736E24,IC5052,313.0258333333333,-69.2038888888889,8.13,0.14,0.22,8.9,,174,7,,,584,5.5,TRGB,12.6,90,76,0.63,23.9,9.27,9.93,,8.81,440,-1.8,CIRCINUS,-1.3,,,11.68,,,14.35,0.05,,12.51,,,15.76,0.04,584,3,18,2004AJ....128...16K,28.7,0.06,-17.87,,-1.12,,-0.25,,0.06,,-0.83,,0.04,,-0.23,1.8620871366628656E9,8.511380382023759E9,6.456542290346563E8,0.07585775750291836,0.14791083881682077,0.11188429815986956,-0.951230858074034,1.1188429815986954E8,8.048769141925966,1.1172522819977193E9,9.048151250383643,65603,IC5052,IC 5052,IC 5052,F20473-6923,IC5052,-,-,313.018748,-69.200069,1,3.581,0.667,140.2,H,1,7.0,0.5,90.0,588.9,2.1,361.6,10.44,6,1,5.8831,0.3691,5.5425,6.1143,5.174,6.2726,N,11.708,11.688,11.338,11.338,0.203,0.203,0.18,0.18,0.22,1.291,0.1474,0.1996,1.952,5.312,1,3,3,2,,,,,,,,,0,0,9.756,9.102,8.884,0.036,0.049,0.058,1,,,,,,,,,,,42.0861,41.7324,41.6063,,,9.3016,,-1.324,-1.371,-1.458,,,-1.324,FT,9.2164,,,,,-1,-1,?,?,16.46617865354726,5.8831,588.9,7.0,9.301600456237793,8.883999824523926,11.687999725341797,-1.3240000009536743,0.047424198421884896,9.216400146484375,1.6458874983651104E9,2.881375456645257E-11,-10.54040014743805,0.5217368291994896,-0.2825485055172887,10,,0.34999943,-0.020000458,-17.160031427252484,
