Name RAh_1 RAm_1 RAs_1 DE-_1 DEd_1 DEm_1 DEs_1 a26_1 b/a AB_1 l_FUVmag FUVmag Bmag l_Hamag Hamag Kmag f_Kmag l_21mag 21mag W50 TType Tdw1 Tdw2 RVel Dis f_Dis RAh_2 RAm_2 RAs_2 DE-_2 DEd_2 DEm_2 DEs_2 a26_2 inc Vm AB_2 BMag SBB logKLum logM26 l_logMHI logMHI VLG Theta1 MD Theta5 Thetaj
"6dF J2218489-46130" 2 21 848.0 7 -4 61 30 0.5 0.5 0.0 "" 17.4 16.0 "" "" 13.0 7 "" 18.0 3 "" I "" 99 10.4 me 2 21 848.0 7 -4 61 30 1.5 7 "" 0.0 -14.0 23.0 7.8 7.1 "" 7.1 97 0.0 Dw2217-4633 0.0 -0.7
A0554+07 5 57 36.7 + 7 29 31 0.72 0.4 2.55 "" "" 18.4 "" 21.1 13.7 * "" 16.3 50 10 Ir N 428 9.77 TF 5 57 36.7 + 7 29 31 3.45 90 21 0.0 -14.1 24.9 7.89 8.24 "" 7.8 340 -1.3 KK49 -1.2 0.05
A0952+69 9 57 29.0 + 69 16 20 1.82 0.53 0.37 "" 18.0 16.8 "" 20.0 14.1 * "" 16.3 48 10 Ir L 99 3.93 TRGB 9 57 29.0 + 69 16 20 2.2 69 21 0.0 -11.5 26.5 6.87 8.06 "" 7.02 242 1.9 MESSIER081 2.2 1.9
AGC102728 0 0 21.4 + 31 1 19 0.2 0.58 0.17 "" 20.4 20.2 "" "" 17.7 * "" 18.7 21 10 Ir L 566 12.42 TRGB 0 0 21.4 + 31 1 19 0.73 64 3 0.0 -10.4 25.2 6.43 5.82 "" 7.05 836 -1.8 NGC7331 -1.4 ""
AGC112454 1 32 59.7 + 14 22 24 0.78 0.33 0.2 "" "" 16.3 "" 19.8 13.8 * "" 15.6 70 9 Im N 669 10.2 mem 1 32 59.7 + 14 22 24 2.31 90 30 0.0 -13.9 24.2 7.81 8.39 "" 8.09 837 1.2 NGC0628 1.2 1.35
AGC112503 1 38 0.3 + 14 58 58 0.42 0.93 0.2 "" "" 17.3 "" 20.4 14.8 * "" 18.0 43 9 BCD N 743 8.61 SBF 1 38 0.3 + 14 58 58 1.09 24 42 0.0 -12.6 24.0 7.27 8.35 "" 6.99 909 -1.0 NGC0628 -0.7 -0.57
AGC112521 1 41 7.9 + 27 19 26 0.6 0.55 0.27 "" 21.1 17.8 "" 23.4 15.2 * "" 17.9 26 10 Ir L 274 6.08 TRGB 1 41 7.9 + 27 19 26 1.1 67 5 0.0 -11.4 25.1 6.81 6.55 "" 6.75 476 -1.4 Maffei2 -0.9 -0.31
AGC114027 1 34 41.8 + 14 38 40 0.38 0.46 0.21 "" "" 17.4 "" 21.0 14.8 * "" 17.3 31 10 Ir L 731 9.9 BTF 1 34 41.8 + 14 38 40 1.11 78 10 0.0 -12.8 23.7 7.39 7.08 "" 7.38 898 1.0 NGC0628 1.0 1.36
AGC122226 2 46 38.9 + 27 43 35 0.85 0.55 0.53 "" "" 17.1 "" 19.3 14.2 * "" 16.6 29 9 BCD N 472 7.71 TRGB 2 46 38.9 + 27 43 35 2.09 67 9 0.0 -12.9 25.0 7.41 7.25 "" 7.46 625 "" "" "" ""
AGC123352 2 48 39.2 + 23 16 26 0.33 0.7 0.9 "" 21.5 19.2 "" 21.4 16.0 * "" 17.8 25 10 Ir L 467 9.73 TRGB 2 48 39.2 + 23 16 26 1.12 52 4 0.0 -11.6 24.9 6.91 6.38 "" 7.18 604 -1.6 NGC0891 -1.0 -0.2
AGC124056 2 57 36.4 + 23 47 21 0.23 0.85 0.59 > 23.0 19.0 > 17.9 16.1 * "" 18.3 22 10 Ir L 407 7.8 mem 2 57 36.4 + 23 47 21 0.59 35 4 0.0 -11.1 24.1 6.67 6.1 "" 6.79 538 0.4 NGC1156 0.4 0.07
AGC124635 2 48 38.5 + 19 19 42 0.62 0.55 0.41 "" 19.2 19.5 "" "" 16.8 * "" 17.7 24 10 Ir L 569 9.3 BTF 2 48 38.5 + 19 19 42 1.79 67 3 0.0 -10.8 26.8 6.55 6.19 "" 7.2 692 -1.8 NGC0891 -1.2 -2.35
AGC174585 7 36 10.3 + 9 59 11 0.4 0.62 0.17 "" "" 17.9 "" 21.8 15.4 * "" 18.1 21 10 Ir N 356 7.73 TRGB 7 36 10.3 + 9 59 11 0.91 60 3 0.0 -11.7 24.4 6.94 5.95 "" 6.89 217 -2.1 NGC2903 -1.5 -0.49
