Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation
AGC112454,23.248749999999998,14.373333333333333,0.78,0.33,0.2,13.8,*,70,9,Im,N,669,10.2,mem,2.31,90,30,0.0,24.2,7.81,8.39,,8.09,837,1.2,NGC0628,1.2,1.35,,16.34,,,,,,15.64,0.01,,19.84,-0.0,669,10,2,2011AJ....142..170H,30.04,,-13.9,,-2.35,,-0.03,,0.57,,,,,,,6.4565422903465495E7,2.4547089156850335E8,1.230268770812381E8,0.0044668359215096305,,3.8739253742079295E7,7.5881512503836435,1456468,PGC1456468,,,,,1237649920042991770,478549273693153280,23.248752,14.373551,0,0.162,0.059,33.0,H,1,10.0,2.0,90.0,660.2,2.6,649.4,13.14,0,0,10.1827,3.9071,6.9379,14.9453,4.727,21.9352,Z,17.502,16.82,,,0.016,0.289,,,0.238,0.815,,,,,0,0,0,0,,,,9.417586,,,,0.479319,0,0,,,,,,,0,21.297,20.912,20.882,21.441,22.811,0.131,0.046,0.06,0.139,0.992,,,,,,,0.626,,,,,,,,,,,3.36,8.2526,0,0,?,N,0.7836310390995668
AGC122226,41.66208333333333,27.726388888888888,0.85,0.55,0.53,13.3,*,29,9,BCD,N,472,7.71,TRGB,2.09,67,9,0.0,24.1,7.77,7.25,,7.46,625,,,,,,16.17,,,,,,16.62,,,19.27,0.02,472,0,1,2011AJ....142..170H,29.44,,-13.8,,-2.3,,0.07,,-0.11,,,,,,,5.888436553555884E7,1.7782794100389227E7,2.8840315031266056E7,0.005011872336272725,,3.53306193213353E7,7.548151250383643,86806,PGC086806,KUG 0243+275,KUG 0243+275,,,-,-,41.662132,27.726356,0,0.253,0.165,128.0,H,1,4.8,3.0,50.88,472.0,3.0,496.8,12.08,1,0,8.5507,3.5234,5.663,12.9109,3.7505,19.4945,C,,17.08,,,,0.5,,,0.54,0.316,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.19511391510672546
AGC124056,44.401666666666664,23.789166666666667,0.23,0.85,0.59,16.1,*,22,10,Ir,L,407,7.8,mem,0.59,35,4,0.0,24.1,6.67,6.1,,6.79,538,0.4,NGC1156,0.4,0.07,,19.0,,>,23.0,,,18.32,0.1,>,17.92,-0.0,407,,5,2016ALFALFA.......A,29.46,,-11.05,<,-1.73,<,1.74,>,-1.35,<,-4.18,<,-0.71,>,1.1,4677351.412871981,1258925.411794166,6165950.018614822,0.018620871366628676,6.606934480075965E-5,2806410.8477231883,6.448151250383644,5807769,AGC124056,,,,,-,-,44.401668,23.789168,1,,,," ",0,,,,407.0,4.3,407.1,12.72,0,0,5.202,2.2285,3.3894,7.984,2.2084,12.2538,Z,,,,,,,,,0.704,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.006506241603695035
AGC124635,42.160416666666656,19.328333333333333,0.62,0.55,0.41,16.8,*,24,10,Ir,L,569,9.3,BTF,1.79,67,3,0.0,26.8,6.55,6.19,,7.2,692,-1.8,NGC0891,-1.2,-2.35,,19.5,,,19.17,,,17.68,0.05,,,,569,2,3,2018ApJ...861...49H,29.84,,-10.76,,,,,,,,-2.63,,0.95,,-0.04,3548133.892335753,1548816.6189124826,1.5848931924611142E7,,0.0023442288153199225,2128880.3354014517,6.328151250383644,5808757,AGC124635,,,,,1237673283048243281,-,42.160418,19.328332,1,0.4,0.36,76.0,S,1,,,,569.0,4.9,548.9,13.27,0,0,7.8147,3.1802,5.2021,11.7395,3.4629,17.6353,Z,,,,,,,,,0.494,,,,,,0,0,0,0,14.835636,,12.302383,,0.06262,,1.450036,,0,0,,,,,,,0,21.887,16.613,16.409,16.041,25.793,2.305,0.011,0.013,0.015,1.572,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.006599697259504904
AGC174585,114.04291666666664,9.986388888888888,0.4,0.62,0.17,15.4,*,21,10,Ir,N,356,7.73,TRGB,0.91,60,3,0.0,24.4,6.94,5.95,,6.89,217,-2.1,NGC2903,-1.5,-0.49,,17.9,,,,,,18.05,,,21.79,0.07,356,3,6,2011AJ....142..170H,29.44,0.11,-11.71,,-3.38,,-0.18,,0.4,,,,,,,8709635.899560815,891250.9381337459,7762471.166286912,4.168693834703355E-4,,5225781.539736489,6.718151250383644,5060050,AGC174585,GALEXASC J073610.24+095910.4,GALEXASC J073610.24+095910.4,,,-,-,114.042871,9.986427,0,0.171,0.171,0.0,K,2,,,,356.0,3.8,280.9,11.32,1,1,7.9068,0.1821,7.7268,8.091,7.5509,8.2794,N,,,,,,,,,0.166,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.21222256433410538
AGC174605,117.59041666666664,7.794444444444444,0.34,0.94,0.1,15.6,*,24,10,Ir,N,351,9.59,TRGB,0.96,22,7,0.0,24.2,7.06,6.7,,7.16,196,-2.1,NGC2903,-1.6,,,18.0,,,19.53,0.17,,17.84,,,22.68,0.13,351,1,2,2011AJ....142..170H,29.91,0.04,-12.01,,-3.56,,-0.48,,0.85,,-2.99,,0.09,,0.28,1.1481536214968817E7,5011872.336272725,1.445439770745928E7,2.754228703338166E-4,0.0010232929922807535,6888921.72898129,6.8381512503836435,5060076,AGC174605,GALEXASC J075021.71+074740.3,GALEXASC J075021.71+074740.3,,,1237667781195138279,-,117.590298,7.794471,0,0.146,0.146,0.0,K,2,,,,351.0,3.3,270.1,11.12,3,1,10.029,0.6576,9.46,10.9391,9.2103,11.2994,N,,,,,,,,,0.1,,,,,,0,0,0,0,18.788113,,,8.819567,0.584575,,,0.408806,0,0,,,,,,,0,23.695,22.368,21.916,21.6,21.671,0.705,0.126,0.11,0.12,0.43,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4339153520844006
AGC182595,132.80041666666665,27.88,0.36,0.58,0.19,14.7,*,20,9,BCD,N,398,8.47,TRGB,0.91,64,3,0.0,23.5,7.3,5.92,,6.95,323,-0.8,NGC2683,-0.5,-1.75,,17.2,,,19.26,0.04,,18.1,,,20.83,0.05,398,2,4,2011AJ....142..170H,29.64,0.03,-12.63,,-2.91,,-0.08,,-0.01,,-2.92,,-0.09,,0.0,1.9952623149688788E7,831763.7711026708,8912509.381337458,0.0012302687708123812,0.001202264434617413,1.1971573889813272E7,7.078151250383644,4087020,SDSSJ085112.11+275248.1,SDSS J085112.11+275248.1,SDSS J085112.11+275248.1,,,1237664093974429951,2175360996892239872,132.800555,27.880013,0,0.409,0.306,109.0,S,1,10.0,2.0,,402.1,1.4,451.1,12.28,3,1,8.6193,0.3254,8.3391,8.9981,8.1198,9.3924,N,17.885,17.229,,,0.13,0.5,,,0.181,,,,,,0,0,0,0,14.331026,16.083569,12.173391,,0.023551,0.455967,1.0049,,0,0,,,,,,,0,17.996,16.969,16.629,16.479,16.6,0.04,0.009,0.02,0.018,0.075,,,,,,,,,,,,,,,,,,3.78,8.2174,0,0,?,N,0.44267738026024306
AGC198507,138.8575,25.419444444444444,0.2,0.75,0.14,16.1,*,37,9,BCD,N,502,10.96,TRGB,0.65,47,19,0.0,23.6,6.95,7.42,,7.28,411,-0.1,AGC198507A,0.0,-3.2,,18.6,,,19.96,0.14,,17.82,0.06,<,23.89,-0.2,502,2,3,2011AJ....142..170H,30.2,0.21,-11.74,>,-3.92,>,-0.73,<,1.34,,-3.02,,0.17,,0.44,8912509.381337458,2.6302679918953814E7,1.905460717963248E7,1.2022644346174131E-4,9.549925860214359E-4,5347505.628802475,6.728151250383644,4194405,SDSSJ091525.83+252511.1,SDSS J091525.83+252511.1,,,,1237665097388130678,-,138.857446,25.419503,0,0.126,0.094,36.1,H,1,,,42.18,502.2,3.4,550.7,12.92,0,0,7.8593,3.1967,5.2328,11.8039,3.4841,17.7284,Z,19.102,18.795,,,0.114,0.5,,,0.141,,,,,,0,0,0,0,17.002357,16.103962,14.677406,,0.152432,0.235198,4.593989,,0,0,,,,,,,0,19.305,18.631,18.689,18.693,18.878,0.059,0.017,0.024,0.038,0.156,,,,,,,0.602,,,,,,,,,,,,,-1,-1,?,?,0.2743446497843496
AGC198508,140.73749999999998,24.946666666666665,0.38,0.57,0.16,15.3,*,29,10,Ir,N,519,9.82,TRGB,1.1,65,9,0.0,24.2,7.18,6.99,,6.92,424,-0.3,NGC2903,-0.2,-1.29,,17.8,,,18.34,0.08,,18.48,0.11,,20.17,0.03,519,4,7,2011AJ....142..170H,29.96,0.08,-12.32,,-2.52,,0.44,,-0.43,,-2.45,,0.51,,-0.5,1.5135612484362071E7,9772372.209558113,8317637.711026709,0.003019951720402016,0.0035481338923357532,9081367.490617242,6.958151250383644,4571720,SDSSJ092256.97+245647.9,SDSS J092256.97+245647.9,,,,-,-,140.737351,24.946751,0,0.206,0.129,65.1,H,1,10.0,2.0,58.77,515.1,3.9,565.1,13.15,0,0,8.2142,3.3354,5.4729,12.3286,3.6465,18.5039,Z,18.702,17.959,,,0.099,0.5,,,0.154,0.374,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.5733352460604315
AGC198712,149.79291666666663,36.03972222222222,0.29,0.3,0.04,16.0,*,36,10,Ir,N,550,10.81,NAM,0.88,90,13,0.0,24.2,6.97,7.23,,7.15,515,-0.8,NGC3184,-0.6,-0.79,,18.4,,,19.31,0.14,,18.13,0.08,,,,550,,5,2016ALFALFA.......A,30.17,,-11.81,,,,,,,,-2.85,,0.31,,0.13,9332543.007969905,1.698243652461746E7,1.4125375446227554E7,,0.001412537544622754,5599525.804781943,6.748151250383644,5808769,AGC198712,,,,,1237661382237028482,-,149.792917,36.039721,1,,,," ",0,,,,550.0,4.9,671.0,13.83,0,0,10.609,3.9847,7.2871,15.4452,5.0053,22.4862,Z,,,,,,,,,0.042,,,,,,0,0,0,0,18.6128,18.389027,,9.178522,0.455064,1.380984,,0.566647,0,0,,,,,,,0,22.679,21.45,21.324,21.08,21.001,0.349,0.055,0.067,0.071,0.218,,,,,,,0.654,,,,,,,,,,,,,-1,-1,?,?,0.00450572332228284
